TIME 14:36:48: CPU 4 %, RAM 11.54% %, HDD 13 %
TIME 14:36:49: CPU 3 %, RAM 11.59% %, HDD 13 %
TIME 14:36:50: CPU 3 %, RAM 11.59% %, HDD 13 %
TIME 14:36:51: CPU 5 %, RAM 11.59% %, HDD 13 %
TIME 14:36:52: CPU 12 %, RAM 11.64% %, HDD 13 %
TIME 14:36:53: CPU 100 %, RAM 13.70% %, HDD 13 %
TIME 14:36:54: CPU 89 %, RAM 16.26% %, HDD 13 %
TIME 14:36:55: CPU 32 %, RAM 16.61% %, HDD 13 %
TIME 14:36:57: CPU 18 %, RAM 16.66% %, HDD 13 %
TIME 14:36:58: CPU 23 %, RAM 16.71% %, HDD 13 %
TIME 14:36:59: CPU 18 %, RAM 16.71% %, HDD 13 %
TIME 14:37:00: CPU 11 %, RAM 16.71% %, HDD 13 %
TIME 14:37:01: CPU 15 %, RAM 16.81% %, HDD 13 %
TIME 14:37:02: CPU 19 %, RAM 16.81% %, HDD 13 %
TIME 14:37:03: CPU 15 %, RAM 16.81% %, HDD 13 %
TIME 14:37:04: CPU 15 %, RAM 16.81% %, HDD 13 %
TIME 14:37:05: CPU 15 %, RAM 16.81% %, HDD 13 %
TIME 14:37:06: CPU 17 %, RAM 16.91% %, HDD 13 %
TIME 14:37:07: CPU 16 %, RAM 16.91% %, HDD 13 %
TIME 14:37:08: CPU 17 %, RAM 16.91% %, HDD 13 %
TIME 14:37:09: CPU 14 %, RAM 17.01% %, HDD 13 %
TIME 14:37:10: CPU 19 %, RAM 17.11% %, HDD 13 %
TIME 14:37:11: CPU 18 %, RAM 17.06% %, HDD 13 %
TIME 14:37:12: CPU 21 %, RAM 17.11% %, HDD 13 %
TIME 14:37:13: CPU 17 %, RAM 17.21% %, HDD 13 %
TIME 14:37:14: CPU 22 %, RAM 17.11% %, HDD 13 %
TIME 14:37:15: CPU 11 %, RAM 17.16% %, HDD 13 %
TIME 14:37:16: CPU 13 %, RAM 17.11% %, HDD 13 %
TIME 14:37:17: CPU 14 %, RAM 17.26% %, HDD 13 %
TIME 14:37:18: CPU 14 %, RAM 17.26% %, HDD 13 %
TIME 14:37:19: CPU 20 %, RAM 17.36% %, HDD 13 %
TIME 14:37:20: CPU 15 %, RAM 17.31% %, HDD 13 %
TIME 14:37:21: CPU 12 %, RAM 17.36% %, HDD 13 %
TIME 14:37:22: CPU 15 %, RAM 17.31% %, HDD 13 %
TIME 14:37:23: CPU 14 %, RAM 17.41% %, HDD 13 %
TIME 14:37:24: CPU 18 %, RAM 17.36% %, HDD 13 %
TIME 14:37:25: CPU 19 %, RAM 17.46% %, HDD 13 %
TIME 14:37:26: CPU 13 %, RAM 17.46% %, HDD 13 %
TIME 14:37:27: CPU 15 %, RAM 17.51% %, HDD 13 %
TIME 14:37:28: CPU 14 %, RAM 17.71% %, HDD 13 %
TIME 14:37:29: CPU 19 %, RAM 17.76% %, HDD 13 %
TIME 14:37:30: CPU 17 %, RAM 17.71% %, HDD 13 %
TIME 14:37:31: CPU 22 %, RAM 17.61% %, HDD 13 %
TIME 14:37:32: CPU 20 %, RAM 17.76% %, HDD 13 %
TIME 14:37:34: CPU 20 %, RAM 17.91% %, HDD 13 %
TIME 14:37:35: CPU 16 %, RAM 17.96% %, HDD 13 %
TIME 14:37:36: CPU 16 %, RAM 17.91% %, HDD 13 %
TIME 14:37:37: CPU 17 %, RAM 17.86% %, HDD 13 %
TIME 14:37:38: CPU 20 %, RAM 17.96% %, HDD 13 %
TIME 14:37:39: CPU 16 %, RAM 18.06% %, HDD 13 %
TIME 14:37:40: CPU 19 %, RAM 18.11% %, HDD 13 %
TIME 14:37:41: CPU 15 %, RAM 18.06% %, HDD 13 %
TIME 14:37:42: CPU 15 %, RAM 18.16% %, HDD 13 %
TIME 14:37:43: CPU 20 %, RAM 18.16% %, HDD 13 %
TIME 14:37:44: CPU 17 %, RAM 18.11% %, HDD 13 %
TIME 14:37:45: CPU 17 %, RAM 18.21% %, HDD 13 %
TIME 14:37:46: CPU 18 %, RAM 18.26% %, HDD 13 %
TIME 14:37:47: CPU 20 %, RAM 18.26% %, HDD 13 %
TIME 14:37:48: CPU 18 %, RAM 18.41% %, HDD 13 %
TIME 14:37:49: CPU 25 %, RAM 18.21% %, HDD 13 %
TIME 14:37:50: CPU 18 %, RAM 18.31% %, HDD 13 %
TIME 14:37:51: CPU 22 %, RAM 18.26% %, HDD 13 %
TIME 14:37:52: CPU 21 %, RAM 12.49% %, HDD 13 %
TIME 14:37:53: CPU 3 %, RAM 12.49% %, HDD 13 %
TIME 14:37:54: CPU 4 %, RAM 12.49% %, HDD 13 %
TIME 14:37:55: CPU 4 %, RAM 12.49% %, HDD 13 %
TIME 14:37:56: CPU 2 %, RAM 12.54% %, HDD 13 %
