TIME 14:36:48: CPU 3 %, RAM 11.89% %, HDD 13 %
TIME 14:36:49: CPU 8 %, RAM 11.89% %, HDD 13 %
TIME 14:36:51: CPU 5 %, RAM 11.89% %, HDD 13 %
TIME 14:36:52: CPU 5 %, RAM 11.89% %, HDD 13 %
TIME 14:36:53: CPU 20 %, RAM 11.89% %, HDD 13 %
TIME 14:36:54: CPU 100 %, RAM 13.20% %, HDD 13 %
TIME 14:36:55: CPU 100 %, RAM 14.45% %, HDD 13 %
TIME 14:36:56: CPU 100 %, RAM 16.56% %, HDD 13 %
TIME 14:36:57: CPU 40 %, RAM 17.01% %, HDD 13 %
TIME 14:36:58: CPU 27 %, RAM 16.96% %, HDD 13 %
TIME 14:36:59: CPU 25 %, RAM 17.01% %, HDD 13 %
TIME 14:37:00: CPU 21 %, RAM 17.01% %, HDD 13 %
TIME 14:37:01: CPU 17 %, RAM 17.06% %, HDD 13 %
TIME 14:37:02: CPU 20 %, RAM 17.06% %, HDD 13 %
TIME 14:37:03: CPU 22 %, RAM 17.06% %, HDD 13 %
TIME 14:37:04: CPU 21 %, RAM 17.06% %, HDD 13 %
TIME 14:37:05: CPU 22 %, RAM 17.11% %, HDD 13 %
TIME 14:37:06: CPU 22 %, RAM 17.16% %, HDD 13 %
TIME 14:37:07: CPU 27 %, RAM 17.21% %, HDD 13 %
TIME 14:37:08: CPU 19 %, RAM 17.21% %, HDD 13 %
TIME 14:37:09: CPU 16 %, RAM 17.26% %, HDD 13 %
TIME 14:37:10: CPU 23 %, RAM 17.26% %, HDD 13 %
TIME 14:37:11: CPU 17 %, RAM 17.26% %, HDD 13 %
TIME 14:37:12: CPU 20 %, RAM 17.41% %, HDD 13 %
TIME 14:37:13: CPU 22 %, RAM 17.31% %, HDD 13 %
TIME 14:37:14: CPU 21 %, RAM 17.36% %, HDD 13 %
TIME 14:37:15: CPU 22 %, RAM 17.41% %, HDD 13 %
TIME 14:37:16: CPU 23 %, RAM 17.41% %, HDD 13 %
TIME 14:37:17: CPU 20 %, RAM 17.41% %, HDD 13 %
TIME 14:37:18: CPU 19 %, RAM 17.36% %, HDD 13 %
TIME 14:37:20: CPU 20 %, RAM 17.46% %, HDD 13 %
TIME 14:37:21: CPU 21 %, RAM 17.51% %, HDD 13 %
TIME 14:37:22: CPU 23 %, RAM 17.51% %, HDD 13 %
TIME 14:37:23: CPU 27 %, RAM 17.56% %, HDD 13 %
TIME 14:37:24: CPU 17 %, RAM 17.66% %, HDD 13 %
TIME 14:37:25: CPU 18 %, RAM 17.66% %, HDD 13 %
TIME 14:37:26: CPU 19 %, RAM 17.66% %, HDD 13 %
TIME 14:37:27: CPU 15 %, RAM 17.61% %, HDD 13 %
TIME 14:37:28: CPU 19 %, RAM 17.71% %, HDD 13 %
TIME 14:37:29: CPU 21 %, RAM 17.71% %, HDD 13 %
TIME 14:37:30: CPU 22 %, RAM 17.76% %, HDD 13 %
TIME 14:37:31: CPU 20 %, RAM 17.76% %, HDD 13 %
TIME 14:37:32: CPU 20 %, RAM 17.86% %, HDD 13 %
TIME 14:37:33: CPU 27 %, RAM 17.86% %, HDD 13 %
TIME 14:37:34: CPU 27 %, RAM 17.91% %, HDD 13 %
TIME 14:37:35: CPU 26 %, RAM 17.91% %, HDD 13 %
TIME 14:37:36: CPU 21 %, RAM 17.91% %, HDD 13 %
TIME 14:37:37: CPU 22 %, RAM 18.01% %, HDD 13 %
TIME 14:37:38: CPU 26 %, RAM 18.16% %, HDD 13 %
TIME 14:37:39: CPU 23 %, RAM 18.21% %, HDD 13 %
TIME 14:37:40: CPU 20 %, RAM 18.21% %, HDD 13 %
TIME 14:37:41: CPU 18 %, RAM 18.36% %, HDD 13 %
TIME 14:37:42: CPU 22 %, RAM 18.41% %, HDD 13 %
TIME 14:37:43: CPU 24 %, RAM 18.41% %, HDD 13 %
TIME 14:37:44: CPU 20 %, RAM 18.41% %, HDD 13 %
TIME 14:37:45: CPU 20 %, RAM 18.56% %, HDD 13 %
TIME 14:37:46: CPU 24 %, RAM 18.56% %, HDD 13 %
TIME 14:37:47: CPU 23 %, RAM 18.46% %, HDD 13 %
TIME 14:37:48: CPU 39 %, RAM 18.31% %, HDD 13 %
TIME 14:37:50: CPU 20 %, RAM 18.62% %, HDD 13 %
TIME 14:37:51: CPU 26 %, RAM 18.67% %, HDD 13 %
TIME 14:37:52: CPU 22 %, RAM 18.72% %, HDD 13 %
TIME 14:37:53: CPU 21 %, RAM 18.82% %, HDD 13 %
TIME 14:37:54: CPU 23 %, RAM 18.77% %, HDD 13 %
TIME 14:37:55: CPU 23 %, RAM 18.82% %, HDD 13 %
TIME 14:37:56: CPU 25 %, RAM 18.82% %, HDD 13 %
TIME 14:37:57: CPU 31 %, RAM 12.84% %, HDD 13 %
TIME 14:37:58: CPU 5 %, RAM 12.84% %, HDD 13 %
TIME 14:37:59: CPU 2 %, RAM 12.84% %, HDD 13 %
TIME 14:38:00: CPU 3 %, RAM 12.84% %, HDD 13 %
TIME 14:38:01: CPU 9 %, RAM 12.84% %, HDD 13 %
